Settlement ,URI,URI 2,Museum ,Museum number,Type,Material ,Technique,Gender,Part of,shape,Iconography,Clothes ,Culture Museum Atribution,Date,Period,Heigh ,width,Depth ,Length,Diameter ,weight,Inscription,Language,Find spot,Description,Hair,Function,Reasoned classification,Bibliograhy ,Pleiades URI,URI 3
Acinipo ,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=REP08629&volver=portal&k=acinipo&tipoBusqueda=simple&lng=es,Museo arqueológico de Sevilla,REP08629,votive offering,bronze,"Foundry
Burled incision
Drilling
Polished",Male,body,foot,right foot,sandal,Roman,1-300 CE,Late Roman Empire,"1,7","3,1","1,3",,,"22,4 gr",,,"Ronda la Vieja, Ronda (Serranía de Ronda (comarca), Málaga) 
[""Sitio identificado con la ciudad de ""Acinipo""""]

","Right foot of masculine figure, shoes with sandal of the type'caligae'. It consists of a central strip provided with straps, assembled to the sole, and a stole in the heel that knots on the ankle. At the height of this, presents a circular perforation. Well polished surface, with olive green patina",,religious/ votive,"The figures of feet worn with sandals are commonly used in the Roman world as the top of the folding chairs ('sellae curules'), with the hollow interior to insert the support rod. The Ronda specimen is solid and also includes a hole in the back, possibly for the suspension, which suggests its correspondence with a military votive, according to the typical Roman soldier footwear",,https://pleiades.stoa.org/places/255950,
Ad Aras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265767,
Ad Decumo 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://data.open.ac.uk/paula/place/ad_decumo-1,
Ad Decumo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://data.open.ac.uk/paula/place/ad_decumo-2,
Ad Gemellas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265771,
Ad Herculem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/255953,
Ad Lucos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265773,
Ad Noulas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://data.open.ac.uk/paula/place/ad_Noulas ,
Ad Pontem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/257476,
Ad Rubras ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/255956,
Adamuz/ Sacili,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MAECO&musid=7&ninv=CE000750&volver=portal&k=adamuz&tipoBusqueda=simple&lng=es,Museo arqueológico y etnológico de Córdoba ,CE000750,capitel ,limestone,sculped,,monument,capitel ,corinthius,,Hadrian,117-138 CE,Hadrian,37,,,,91,,,,"Casa de las Pavas, Adamuz (Valle del Guadalquivir (y Municipios Mixtos), Córdoba)","Corintizante capital of column in good state of conservation. It presents fracture in the abacus, missing the upper corners. He has only kept one of the flowers of the abacus. Characterized by the scarce relief in the decoration, the symmetry and the lack of use of the trepan. The lower crown is composed of eight leaves of acanthus with very protruding tips and somewhat coiled. In the upper zone, separating the elements that decorate the free zone of the'kalathos', a corintizante leaf ascends that will sustain the scrolls now disappeared. As ornamental elements alternate the open calyx and the decorative stems in S'fronted. The abacus flower is a kind of chalice that rests on another flower with six petals.",,Decorative / Architectonic,"It has been dated by the parallels it presents with other capitals studied by Carlos Márquez. For the technical characteristics, the type of stone, local or nearby, decorations, etc. corresponds to the productions of the corintizantes workshops of Colonia Patricia Corduba in the adrianeo period.","RAMÍREZ DE ARELLANO, R.. \i1 Inventario monumental y artístico de la provincia de Córdoba.\i0 1904. p. 26. Edición de 1983 a cargo de la Diputación Provincial de Córdoba.
",http://www.geonames.org/2522438/adamuz.html,
Adamuz/ Sacili,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MAECO&musid=7&ninv=CE029045&volver=portal&k=adamuz&tipoBusqueda=simple&lng=es,Museo arqueológico y etnológico de Córdoba ,CE029045,Cinerary Urn,Lead,"Creased
chopped up
Foundry
",,,square urn,,,Roman,,,24,23,,"40,5",,,,,"Casa de las Pavas, Adamuz (Valle del Guadalquivir (y Municipios Mixtos), Córdoba)","Cinerary urn made in lead. Morphologically it is a rectangular parallelepiped constructed from a sheet of lead through which the box and lid have been made. This sheet was cut in a T shape, defining the faces that will later form the urn and then folded as if it were a cardboard box. The edges were adjusted by means of flaps folded over them in the areas of the side faces and the lid, so that it is perfectly closed.
The urn lacks decoration and is partially fractured in several of its surfaces.
",,Funerary,,,http://www.geonames.org/2522438/adamuz.html,
Agatucci ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265784,
Aiungi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265785,
Anticaria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265799,
Aratispi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265801,
Asido (Medina Sidonia) ,arachne.dainst.org/entity/1114411,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE00078&volver=busquedaSimple&k=medina%20sidonia&lng=es,Museo de Cádiz ,CE00078,statue,marble,sculpted,male,,body,togathus,toga,Roman,1-100 CE,Late roman Empire,165,,,,,,,,"Casa de Juan Cabello, Medina-Sidonia (Janda (comarca), Cádiz <(provincia)>) Hallazgo, 1894

","Male statue of a togado, sculpted in marble, missing the head, right forearm, left hand and feet. Dress a tunic that describes folds in V on the chest and, covering it, a toga that rests on the left shoulder and crosses obliquely the torso, forming a pronounced umbo with the folds in U and a broad sinus that falls on the thigh of the right leg. At the back, almost without working, the toga falls in a manner analogous to the way it does on the obverse, joining the folds with the highlights on the sinus itself. The character rests the weight on the left leg, which is slightly ahead of the right, leaving its shape clearly drawn under the clothes. The right arm would presumably fall along the body and the left arm would have the elbow clearly bent upwards, so that the hand would advance towards the front. The frontal carving of the sculpture, barely worked on its reverse, suggests that it was conceived to be seen only in front of it.",,Honorific,"Some typological and iconographic elements induce to frame the sculpture around the first century d. C., between the time of Tiberius and Claudius: the large, flat and U-shaped umbo
the broad sinus, whose schematized and flat folds encompass and cover the lower part of the body
the slightly forward leg marked under the garment
the axial continuity between the folds of the tunic, arranged in a V-shape between the neck and the waist, and those of the umbo in the U-shape","GARCÍA; BELLIDO, Antonio. \i1 Esculturas romanas de España y Portugal.\i0 1949. p. 191; il.p. 161; ""De mediados del siglo I después de J.C., o poco después (época flavia)."". Nº cat. 224.
Tomo II: Ilustraciones

ROMERO DE TORRES, Enrique. \i1 Catálogo Monumental de España. Provincia de Cádiz (1908-1909).\i0 1934. p. 120; il. 60; ""Estatua senatorial, de mármol blanco, mutilada. Mide 1,60 m. de alto y 0,69 de ancho. Fue descubierta en la casa propiedad de D. Juan Cabello, en Medina Sidonia, el año 1894. Le faltan la cabeza y extremidades."". Tomo II: ilustraciones",https://pleiades.stoa.org/places/255994,
Asido (Medina Sidonia) ,arachne.dainst.org/entity/1114455,http://ceres.mcu.es/pages/Main?idt=96014&inventary=1961/37/1&table=FMUS&museum=MAN,MAN,1961/37/1,statue,marble,sculpted,female,,body,Female figure ,tunic,Roman,76-125 CE,Late roman Empire,177,53,34,,,,,,"        Medina-Sidonia(Janda (comarca), Cádiz)","Female marble sculpture dressed in tunic and palla or mantle, which is arranged on the chest in a double curve. The right hand leaves between the folds of the same one holding it near the opposite shoulder, while the rest of the mantle is collected on the left hand and falls vertically. The right leg, slightly flexed, causes the formation of diagonal folds giving dynamism to the figure that contrasts with the verticality of the tunic that appears at the bottom under the mantle.
Some authors consider that due to its formal characteristics this work could be framed within one of the statues types of funerary character called Eumachia-Fundilia. Born in middle Hellenism with a progressive development throughout the 1st century BC. until reaching its peak in the Augustus era. This model will be represented both in funeral stelae and in exempt sculptures.
This typology adopts the scheme of an ideal figure. The women thus presented were Roman citizens belonging to the imperial family or to the upper social classes and had a prominent role in the family and in society. Images of this type are the clearest exponent of the social and political influence and economic power of certain women during the first centuries of the Empire.",,Decorative,,"Thouvenot, R. (1940) 598. 602 Abb. 123
Romero de Torres, E. (1934) 210 Taf. 64 Abb. 64
A. Balil, Zephyrus 12, 1961, 204 Nr. 2
Millán García de Cáceres, in: Memorias de los Museos Arqueológicos 19-22, 1958-61 (1963) 16 Taf. 1
Balil, A. (1978) 15 ff. Nr. 6 Taf. 6 Nr. 6 (mit Bemerkungen zur Typologie und mögl. Funktion)
C. Millán, AEspA 35, 1962, 164-167 Abb. 1
Baena Alcántara, M. D. (2000) 10 B 1, Taf. 2, 1
Franz, A. (2001) Nr. IV.2.2.2",https://pleiades.stoa.org/places/255994,
Asido (Medina Sidonia) ,arachne.dainst.org/entity/1094622,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE07209&volver=busquedaSimple&k=medina%20sidonia&lng=es,Museo de Cádiz ,CE07209,portrait,marble,sculpted,female,,bust,Livia´s portrait,,Roman,14-37 CE,Tiberian,37,20,,,,,,,"Cerro del Castillo, Medina-Sidonia (Janda (comarca), Cádiz <(provincia)>)","Female head sculpted in white marble. The most relevant physiognomic features are the large eyes, the broad cheekbones, the small mouth and the short chin. Replica provincial of the type with nodus hairstyle, characterized by the high tupé on the forehead, side wave winders, smooth hair band on the skull and low thick chignon.","The nodus hairstyle, typical of the Julio-Claudia dynasty, is characterized by the high and marked toupee and a thick, low chignon. The iconographic features correspond to that represented in a bust of the Fayum, preserved in the Ny Carlsberg Glyptotek.",Propaganda,"The workshop from which the piece proceeds works according to the guidelines of the classicist style, concise and clear of Tiberius's time, solved with correct and unwieldy technique, sometimes neglected. Together with the preserved heads of Druso (Inv. No. CE07442) and Germanicus (Inv. No. CE07210), from the same workshop, he would be part of a sculptural group related to the Julio-Claudia family cult, domus augusta, by their own provincial elites. The heads would be inserted in statues, attached to the wall, judging from the unfinished state of the backs. The group would be presided over by Livia, in the center, with Germanic on his right and Drusus on the left, according to the hierarchical order of succession.","ARCE, Javier. \i1 ´Estatuas y retratos imperiales en Hispania romana´.\i0 2002. p. 245; Archivo Español de Arqueología. Tomo 75

ARCE, Javier; ENSOLI, Serena; LA ROCCA, Eugenio. \i1 Hispania Romana. Desde tierra de conquista a provincia del Imperio.\i0 1997. p. 398; ""Cabeza-retrato de la emperatriz Livia con peinado de nodus. Rasgos fisionómicos y detalles del peinado aseguran la relación el tipo Fayum. La cabeza fue dada a conocer por A. Blanco, que la catalogó e interpretó correctamente. Aspectos interesantes son la fidelidad tipológica y la soltura de la labor, ambos útiles para sopesar el nivel alcanzado en talleres locales a comienzos de época imperial."". Nº Cat. 194
La ficha del catálogo es obra de P. León

BLANCO FREIJEIRO, Antonio. \i1 Roma Imperial.\i0 1999. il. p. 22; Historia del Arte. Historia 16. Tomo 10

CORZO SÁNCHEZ, Ramón. \i1 La Antigüedad.\i0 1989. p. 295-297; il. 233; ""Livia, la esposa del primer emperador, es objeto de muchas representaciones a partir de su titulación como Augusta y de su posterior muerte y divinización. Sus rasgos son siempre juveniles y en el peinado (...) se puede señalar un tipo con nodus sobre la frente (...). A la primera variedad corresponde (...) la excelente [efigie] de Medina Sidonia consevada en el Museo de Cádiz.""
Historia del Arte en Andalucía. Tomo I

GARBARINO GAINZA, Cándida; et álii. \i1 Museo de Cádiz. Guía oficial.\i0 2004. p. 63. 

GARCÍA ALFONSO, Eduardo; MARTÍNEZ, Virgilio; MORGADO, Antoni. \i1 ´Museo de Cádiz. Sección Arqueología´.\i0 1995. p. 53; ""De los tres retratos, el más interesante es el de Livia, que mide 37 cm. de altura. La última esposa de Augusto aparece con un aspecto juvenil, siguiendo el tipo de la llamada ""Livia de El Fayum""; la emperattriz lleva un peinado de nodus sobre la frente. Esta pieza y sus compañeras deben fecharse en el reinado de Tiberio.""; Museos Arqueológicos de Andalucía. Tomo I: Cádiz, Córdoba, Huelva y Sevilla

GARRIGUET, José A. \i1 ´Grupos estatuarios imperiales de la Bética: la evidencia escultórica y epigráfica´.\i0 2004. p. 68-70; Actas de la IV Reunión sobre escultura romana en Hispania (Faculdade de Belas-Artes de Lisboa, Universidade de Lisboa; 7, 8 e 9 fevereiro 2002). 

LEÓN ALONSO, Pilar. \i1 ´La incidencia del estilo provincial en retratos de la Bética´.\i0 1993. p. 15-16; I Reunión de Escultura Romana en Hispania. La autora relaciona la pieza de Medina Sidonia con otra aparecida en Sevilla, de la misma época, vinculando ambas con técnicas y estilos frecuentes en otros retratos de talleres cirenaicos.

LEÓN ALONSO, Pilar. \i1 Retratos romanos de la Bética.\i0 Sevilla (m): 2001. p. 322-325; Catálogo de la Exposición (Mayo-junio, 2001). Nº Cat. 99
Descripciones basadas en este documento

LÓPEZ DE LA ORDEN, María Dolores. \i1 ´Retrato de Livia´.\i0 2007. p. 132; il.p. 133; La mujer en el mundo antiguo. 

RODRÍGUEZ OLIVA, Pedro. \i1 ´Ciclos escultóricos de la casa y de la ciudad de la Bética´.\i0 1993. p. 35; ""En Medina Sidonia fueron hallados en 1960, un espléndido retrato de Liuia del tipo del Fayum con peinado de nodus sobre la frente y 0,37 m de altura, probablemente fechable en el reinado de su hijo, y otro, también en mármol blanco como el primero y 0,30 m de altura, que podría representar a Germánico o a su padre Druso el Mayor. Tales retratos fueron considerados por Blanco como posibles pruebas de un lugar de culto a la domus augusta.""; Actas de la I Reunión sobre escultura romana en Hispania (Mérida 1992).
",https://pleiades.stoa.org/places/255994,
